382,"LABORATORIO DE MECANICA CLASSICA (1200535)"
359,"CALCULO I (1200003)"
315,"EXPRESSAO GRAFICA (1200557)"
291,"MECANICA CLASSICA (1200534)"
284,"GEOMETRIA ANALITICA (1200255)"
284,"ESTATISTICA (1104030)"
271,"CALCULO II (1200008)"
269,"LABORATORIO DE QUIMICA GERAL"
261,"ANALISE E EXPRESSAO TEXTUAL (1200536)"
244,"LABORATORIO DE ONDAS E TERMODINAMICA"
240,"INFORMATICA APLICADA (1200448)"
229,"ALGEBRA LINEAR (1200260)"
221,"LABORATORIO DE QUIMICA APLICADA A ENGENHARIA"
209,"FILOSOFIA DA CIENCIA  E MET. CIENTIFICA (1200171)"
195,"AMBIENTE ENERGIA E SOCIEDADE (1200340)"
167,"SEMINARIO DE INTRODUCAO AO CURSO (1200537)"
162,"LABORATORIO DE ELETRICIDADE E MAGNETISMO"
162,"ECONOMIA PARA ENGENHARIA (1200374)"
154,"SOCIOLOGIA (1200320)"
143,"EQUACOES DIFERENCIAIS"
137,"QUIMICA APLICADA A ENGENHARIA"
133,"MECANICA GERAL I (1200545)"
132,"INTRODUCAO AS FUNCOES DE VARIAS VARIAVEIS (1200122)"
126,"ONDAS E TERMODINAMICA"
126,"LABORATORIO DE QUIMICA GERAL (1200538)"
125,"PROJETO AUXILIADO POR COMPUTADOR (1200543)"
124,"FENOMENOS DE TRANSPORTE"
122,"PROJETO AUXILIADO POR COMPUTADOR (1200121)"
121,"QUIMICA GERAL (1200431)"
121,"CALCULO NUMERICO (1200128)"
120,"ETICA E LEGISLACAO (1200047)"
120,"ELETRICIDADE E MAGNETISMO"
107,"S. DE G. DE S. E SEGURANCA NO TRABALHO"
103,"QUIMICA GERAL"
98,"ADMINISTRACAO E EMPREENDEDORISMO"
90,"CULTIVOS AGRICOLAS I (1200042)"
87,"BOTANICA I (1103018)"
84,"SEMINARIO INTEGRADOR"
80,"OLERICULTURA (1200043)"
79,"RESISTENCIA DOS MATERIAIS  I (1200556)"
78,"TECNOLOGIA DE SEMENTES (1200025)"
71,"HIDRAULICA (1200018)"
70,"ESTATISTICA EXPERIMENTAL (1200010)"
67,"TOPOGRAFIA (1200007)"
67,"LABORATORIO DE QUIMICA ANALITICA (1200753)"
67,"ENTOMOLOGIA E PARASITOLOGIA I (1103029)"
65,"ALIMENTOS E ALIMENTACAO DOS ANIMAIS DOMESTICOS"
63,"SOCIOLOGIA RURAL (1101038)"
61,"ZOOLOGIA DE VERTEBRADOS (1200704)"
61,"BOTANICA II (1103020)"
59,"ENTOMOLOGIA E PARASITOLOGIA II (1200031)"
59,"BIOQUIMICA"
56,"ESTATISTICA"
55,"TRABALHO DE CONCLUSAO DE CURSO I"
54,"MICROBIOLOGIA AGRICOLA (1200009)"
54,"FITOPATOLOGIA I (1200030)"
53,"MATERIAIS DE CONSTRUCAO I"
53,"FISICA DO SOLO (1200016)"
